foto,fila,nombre,arete,telefono,marker_px,px_per_cm,distancia_m,nivel_distancia,cow_conf,area_px,lateral_area_cm2,lateral_area_cm2_corr,body_length_cm,height_cm,chest_depth_cm,aspect_ratio,fill_ratio,marcador_en_caja,seleccionada_3m,estado
IMG_20260912_071939.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.79,7.586,3.45,3.5,0.625,893410,15524.64,20351.19,237.94,137.49,126.55,1.7306,0.4746,1,0,ok
IMG_20260912_071939_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,114.29,7.6194,3.435,3.5,0.951,891911,15363.3,20162.1,234.27,140.3,130.19,1.6698,0.4674,1,0,ok
IMG_20260912_071940.jpg,11,Crisalia,197257,xiaomi_15_ultra,115.04,7.6694,3.412,3.5,0.945,902883,15349.96,20178.24,233.66,135.21,127.65,1.7281,0.4859,1,0,ok
IMG_20260912_071943.jpg,11,Crisalia,197257,xiaomi_15_ultra,131.3,8.7535,2.99,3.0,0.95,1206296,15743.16,21449.62,241.28,141.89,134.12,1.7005,0.4599,1,1,ok
IMG_20260912_071944.jpg,11,Crisalia,197257,xiaomi_15_ultra,131.57,8.7715,2.983,3.0,0.951,1208928,15712.9,21420.99,240.1,141.48,134.19,1.697,0.4626,1,1,ok
IMG_20260912_071945.jpg,11,Crisalia,197257,xiaomi_15_ultra,131.3,8.7532,2.99,3.0,0.941,1199173,15651.15,21324.07,237.63,138.92,132.29,1.7105,0.4741,1,1,ok
IMG_20260912_071950.jpg,11,Crisalia,197257,xiaomi_15_ultra,160.06,10.6705,2.452,2.5,0.957,1605332,14099.2,20434.28,228.57,130.17,124.36,1.7559,0.4739,0,0,ok
IMG_20260912_071951.jpg,11,Crisalia,197257,xiaomi_15_ultra,160.65,10.7099,2.443,2.5,0.956,1656168,14438.98,20952.88,227.08,135.67,125.02,1.6738,0.4687,0,0,ok
IMG_20260912_071952.jpg,11,Crisalia,197257,xiaomi_15_ultra,161.42,10.7611,2.432,2.5,0.956,1654875,14290.65,20771.35,227.86,134.47,123.69,1.6945,0.4664,0,0,ok
IMG_20260912_072212.jpg,12,Oscarina,207913,xiaomi_15_ultra,147.31,9.8208,2.665,2.5,0.936,1453420,15069.32,21255.23,213.73,147.85,138.79,1.4456,0.4769,0,0,ok
IMG_20260912_072213.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.79,9.7861,2.674,2.5,0.945,1447022,15109.55,21288.19,212.55,145.21,135.4,1.4638,0.4896,0,0,ok
IMG_20260912_072213_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,147.0,9.8001,2.67,2.5,0.948,1452837,15127.12,21322.52,213.57,145.0,135.92,1.4729,0.4885,0,0,ok
IMG_20260912_072214.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.75,9.7833,2.675,2.5,0.954,1445359,15100.96,21274.14,213.94,143.2,134.72,1.4939,0.4929,0,0,ok
IMG_20260912_072214_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.75,9.7833,2.675,2.5,0.951,1437496,15018.81,21158.41,213.94,144.53,137.38,1.4802,0.4857,0,0,ok
IMG_20260912_072215.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.46,9.7642,2.68,2.5,0.951,1463616,15351.52,21613.85,222.85,148.19,140.92,1.5038,0.4648,0,0,ok
IMG_20260912_072215_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.7,9.78,2.676,2.5,0.952,1493292,15612.15,21992.0,225.77,145.91,137.42,1.5473,0.4739,0,0,ok
IMG_20260912_072216.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.7,9.78,2.676,2.5,0.945,1489396,15571.45,21934.66,229.65,145.3,135.48,1.5806,0.4667,0,0,ok
IMG_20260912_072216_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.74,9.7828,2.675,2.5,0.94,1471599,15376.72,21662.27,228.97,147.81,138.0,1.5491,0.4543,0,0,ok
IMG_20260912_072216_2.jpg,12,Oscarina,207913,xiaomi_15_ultra,145.96,9.7304,2.689,2.5,0.95,1483456,15668.07,22035.48,230.93,146.65,136.79,1.5746,0.4626,0,0,ok
IMG_20260912_072217.jpg,12,Oscarina,207913,xiaomi_15_ultra,146.23,9.7484,2.684,2.5,0.947,1483794,15613.88,21972.0,229.17,148.33,137.87,1.545,0.4593,0,0,ok
IMG_20260912_072222.jpg,12,Oscarina,207913,xiaomi_15_ultra,123.1,8.2069,3.189,3.0,0.945,1059634,15732.47,21053.21,228.47,144.27,135.74,1.5836,0.4773,0,1,ok
IMG_20260912_072223.jpg,12,Oscarina,207913,xiaomi_15_ultra,122.87,8.1914,3.195,3.0,0.947,1063331,15847.23,21195.92,230.49,143.69,135.87,1.6041,0.4785,0,0,ok
IMG_20260912_072223_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,122.63,8.1756,3.201,3.0,0.943,1058593,15837.53,21171.91,227.75,143.35,136.26,1.5887,0.4851,0,0,ok
IMG_20260912_072224.jpg,12,Oscarina,207913,xiaomi_15_ultra,122.15,8.1434,3.214,3.0,0.938,1057652,15949.02,21298.23,229.51,141.46,133.61,1.6224,0.4912,0,0,ok
IMG_20260912_072225.jpg,12,Oscarina,207913,xiaomi_15_ultra,122.13,8.1419,3.214,3.0,0.942,1056105,15931.63,21273.94,227.96,142.35,135.96,1.6014,0.491,0,0,ok
IMG_20260912_072225_1.jpg,12,Oscarina,207913,xiaomi_15_ultra,122.39,8.159,3.207,3.0,0.923,1043615,15677.09,20945.92,222.09,140.34,134.08,1.5825,0.503,0,0,ok
